stage_id,stage_order,date,commit_sha,commit_message,milestone_name,project_phase,model,model_family,satellite,orbit_type,dataset,training_samples,test_samples,forecast_horizon,input_features,physics_features,physics_mode,orbital_state_source,key_hyperparameters,w_x,w_y,w_z,w_clock,w_avg,p_x,p_y,p_z,p_clock,p_avg,h0_x,h0_y,h0_z,h0_clock,aggregate_residual_mean,aggregate_residual_std,qq_outliers,qq_max_discrepancy,mae,rmse,three_d_mae,three_d_rmse,clock_mae,clock_rmse,sisre,official_selection_priority,selection_status,selected_model,problem_addressed,change_introduced,result,performance_change,limitation,next_step,evidence_source,evidence_commit,confidence,notes
STAGE-04,4,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,PS-08 Day-8 Multi-Model Benchmark,Multi-Model Day-8 Benchmark,Harmonic Ridge,Linear / Harmonic,"Macro-Average (GEO, MEO-1, MEO-2)",Combined (GEO & MEO),"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Causal lags, elapsed time, harmonic frequencies",None (Cartesian ECEF),none,none,evaluated_in_scripts/benchmark_ps08.py,NA,NA,NA,NA,0.848832,NA,NA,NA,NA,0.177741,NA,NA,NA,NA,NA,NA,NA,NA,6.267048,13.256386,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),WINNER,Harmonic Ridge,First rigorous out-of-sample Day-8 benchmark across all 6 candidate models following Note.pdf rules.,Built scripts/benchmark_ps08.py executing standardized 7-day train / Day-8 test protocol with exact deduplication.,Harmonic Ridge achieved highest W_avg (0.848832) with lowest rejections (7/12).,comparable; Harmonic Ridge won on normality despite GP having lower MAE (5.94m vs 6.27m),Global model ranking across satellites ignored satellite-specific physical variations.,Address data pipeline leakage and investigate large GEO excursion dynamics.,"results/ps08_day8/BENCHMARK_REPORT.md, benchmark_report.json",c818f3e63b416008d5254219e97e710d9468f443,high,First implementation of Note.pdf three-tier evaluation criteria (Shapiro W -> Mean/Std -> Q-Q).
STAGE-04,4,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,PS-08 Day-8 Multi-Model Benchmark,Multi-Model Day-8 Benchmark,Random Forest,Ensemble Trees,"Macro-Average (GEO, MEO-1, MEO-2)",Combined (GEO & MEO),"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Causal lags, elapsed time, harmonic frequencies",None (Cartesian ECEF),none,none,evaluated_in_scripts/benchmark_ps08.py,NA,NA,NA,NA,0.847138,NA,NA,NA,NA,0.217385,NA,NA,NA,NA,NA,NA,NA,NA,6.256051,13.357718,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 2,Harmonic Ridge,First rigorous out-of-sample Day-8 benchmark across all 6 candidate models following Note.pdf rules.,Built scripts/benchmark_ps08.py executing standardized 7-day train / Day-8 test protocol with exact deduplication.,Harmonic Ridge achieved highest W_avg (0.847138) with lowest rejections (6/12).,comparable; Harmonic Ridge won on normality despite GP having lower MAE (5.94m vs 6.27m),Global model ranking across satellites ignored satellite-specific physical variations.,Address data pipeline leakage and investigate large GEO excursion dynamics.,"results/ps08_day8/BENCHMARK_REPORT.md, benchmark_report.json",c818f3e63b416008d5254219e97e710d9468f443,high,First implementation of Note.pdf three-tier evaluation criteria (Shapiro W -> Mean/Std -> Q-Q).
STAGE-04,4,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,PS-08 Day-8 Multi-Model Benchmark,Multi-Model Day-8 Benchmark,BiLSTM-GRU,Recurrent Neural Network,"Macro-Average (GEO, MEO-1, MEO-2)",Combined (GEO & MEO),"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Causal lags, elapsed time, harmonic frequencies",None (Cartesian ECEF),none,none,evaluated_in_scripts/benchmark_ps08.py,NA,NA,NA,NA,0.827697,NA,NA,NA,NA,0.134819,NA,NA,NA,NA,NA,NA,NA,NA,5.949739,13.196067,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 3,Harmonic Ridge,First rigorous out-of-sample Day-8 benchmark across all 6 candidate models following Note.pdf rules.,Built scripts/benchmark_ps08.py executing standardized 7-day train / Day-8 test protocol with exact deduplication.,Harmonic Ridge achieved highest W_avg (0.827697) with lowest rejections (8/12).,comparable; Harmonic Ridge won on normality despite GP having lower MAE (5.94m vs 6.27m),Global model ranking across satellites ignored satellite-specific physical variations.,Address data pipeline leakage and investigate large GEO excursion dynamics.,"results/ps08_day8/BENCHMARK_REPORT.md, benchmark_report.json",c818f3e63b416008d5254219e97e710d9468f443,high,First implementation of Note.pdf three-tier evaluation criteria (Shapiro W -> Mean/Std -> Q-Q).
STAGE-04,4,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,PS-08 Day-8 Multi-Model Benchmark,Multi-Model Day-8 Benchmark,Persistence,Baseline,"Macro-Average (GEO, MEO-1, MEO-2)",Combined (GEO & MEO),"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Causal lags, elapsed time, harmonic frequencies",None (Cartesian ECEF),none,none,evaluated_in_scripts/benchmark_ps08.py,NA,NA,NA,NA,0.826648,NA,NA,NA,NA,0.126571,NA,NA,NA,NA,NA,NA,NA,NA,6.075791,13.198906,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 4,Harmonic Ridge,First rigorous out-of-sample Day-8 benchmark across all 6 candidate models following Note.pdf rules.,Built scripts/benchmark_ps08.py executing standardized 7-day train / Day-8 test protocol with exact deduplication.,Harmonic Ridge achieved highest W_avg (0.826648) with lowest rejections (8/12).,comparable; Harmonic Ridge won on normality despite GP having lower MAE (5.94m vs 6.27m),Global model ranking across satellites ignored satellite-specific physical variations.,Address data pipeline leakage and investigate large GEO excursion dynamics.,"results/ps08_day8/BENCHMARK_REPORT.md, benchmark_report.json",c818f3e63b416008d5254219e97e710d9468f443,high,First implementation of Note.pdf three-tier evaluation criteria (Shapiro W -> Mean/Std -> Q-Q).
STAGE-04,4,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,PS-08 Day-8 Multi-Model Benchmark,Multi-Model Day-8 Benchmark,Transformer,Attention Neural Network,"Macro-Average (GEO, MEO-1, MEO-2)",Combined (GEO & MEO),"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Causal lags, elapsed time, harmonic frequencies",None (Cartesian ECEF),none,none,evaluated_in_scripts/benchmark_ps08.py,NA,NA,NA,NA,0.825003,NA,NA,NA,NA,0.128970,NA,NA,NA,NA,NA,NA,NA,NA,5.952240,13.197836,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 5,Harmonic Ridge,First rigorous out-of-sample Day-8 benchmark across all 6 candidate models following Note.pdf rules.,Built scripts/benchmark_ps08.py executing standardized 7-day train / Day-8 test protocol with exact deduplication.,Harmonic Ridge achieved highest W_avg (0.825003) with lowest rejections (8/12).,comparable; Harmonic Ridge won on normality despite GP having lower MAE (5.94m vs 6.27m),Global model ranking across satellites ignored satellite-specific physical variations.,Address data pipeline leakage and investigate large GEO excursion dynamics.,"results/ps08_day8/BENCHMARK_REPORT.md, benchmark_report.json",c818f3e63b416008d5254219e97e710d9468f443,high,First implementation of Note.pdf three-tier evaluation criteria (Shapiro W -> Mean/Std -> Q-Q).
STAGE-04,4,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,PS-08 Day-8 Multi-Model Benchmark,Multi-Model Day-8 Benchmark,Gaussian Process,Nonparametric Bayesian,"Macro-Average (GEO, MEO-1, MEO-2)",Combined (GEO & MEO),"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Causal lags, elapsed time, harmonic frequencies",None (Cartesian ECEF),none,none,evaluated_in_scripts/benchmark_ps08.py,NA,NA,NA,NA,0.821455,NA,NA,NA,NA,0.126631,NA,NA,NA,NA,NA,NA,NA,NA,5.944548,13.191014,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 6,Harmonic Ridge,First rigorous out-of-sample Day-8 benchmark across all 6 candidate models following Note.pdf rules.,Built scripts/benchmark_ps08.py executing standardized 7-day train / Day-8 test protocol with exact deduplication.,Harmonic Ridge achieved highest W_avg (0.821455) with lowest rejections (7/12).,comparable; Harmonic Ridge won on normality despite GP having lower MAE (5.94m vs 6.27m),Global model ranking across satellites ignored satellite-specific physical variations.,Address data pipeline leakage and investigate large GEO excursion dynamics.,"results/ps08_day8/BENCHMARK_REPORT.md, benchmark_report.json",c818f3e63b416008d5254219e97e710d9468f443,high,First implementation of Note.pdf three-tier evaluation criteria (Shapiro W -> Mean/Std -> Q-Q).
STAGE-05,5,2026-09-04 04:14:43,0a6451a3e71f8a493bb0a7b9ca634f0fba699cb3,Pipeline Leakage Control,Pipeline Leakage Control & Evaluation Hardening,Leakage Control & Evaluation Improvements,All Models (Data Pipeline),Preprocessing & Data Ingestion,All Satellites,GEO / MEO,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 (96 steps),Strictly causal features; no future leakage,None,none,none,_keras_validation_start; purge_irregular_gaps=True; disjoint_scaler_fit=True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leakage-Safe Validation Policy,Infrastructure Hardening,Harmonic Ridge,"Risk of data leakage across train/validation splits, scaler fitting on test statistics, and irregular cadence gaps.",Restricted scaler fitting strictly to training historical window; purged sequence windows crossing gaps; tracked row-level predictions.,Guaranteed zero forward-looking target contamination; verified by tests/test_data_pipeline.py.,not_comparable (Data pipeline leakage fix; ensures validity of subsequent scores),GEO error excursions remained unmodeled by static linear and recurrent baselines.,Develop GEO regime-aware architecture to capture non-stationary excursion physics.,"src/data.py, tests/test_data_pipeline.py, results/ps08_day8/day8_all_models_table.md",0a6451a3e71f8a493bb0a7b9ca634f0fba699cb3,high,Ensured mathematical integrity and audit compliance for all subsequent machine learning runs.
STAGE-06,6,2026-09-04 04:42:21,cb0c8bf32f469093d5fe581e457f87e52239faec,Addition of GEO Regime Aware Model,GEO Regime-Aware Excursion Modeling,GEO-Specific / Regime-Aware Modeling,GEO Regime Aware Residual Forecaster,Hybrid Regime Forecaster (PyTorch),GEO,GEO,Data_PS-08/DATA_GEO_Train.csv / DATA_GEO_Test.csv,142,69,69,Harmonic orbital base + delta_t time gaps + rolling amplitude regime estimator,"Temporal gap distribution, orbital period harmonics",none,none,regime_threshold=2.5_sigma; residual_head_dim=24; lr=0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEO Excursion Analysis,Specialist Prototype,GEO Regime Aware,GEO orbit exhibited abrupt ~75m error excursions during Day 8 that degraded global model W scores.,Engineered regime-switching residual forecaster combining base harmonics with excursion gating.,Isolated excursion regimes; generated comprehensive geo_diagnostics/ plots and backtests.,comparable; provided foundation for Gated Mixture of Experts,Hard thresholding on regime probabilities caused boundary discontinuity.,Formulate continuous Gated Mixture of Experts (MoE) with soft routing.,"results/ps08_day8/geo_diagnostics/, tests/test_geo_regime_aware.py",cb0c8bf32f469093d5fe581e457f87e52239faec,high,Proved that GEO orbit requires specialized regime modeling distinct from MEO satellites.
STAGE-07,7,2026-09-04 05:19:05,05bbd2179703df76dbe51c0775e3199e9038cc99,Complete GEO Gated MoE model and PS-08 Day-8 benchmark evaluation,GEO Gated Mixture of Experts Benchmark,GEO Gated MoE Benchmark,GEO Gated MoE,Mixture of Experts (PyTorch),Macro-Average & GEO Breakdown,GEO / Combined,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Harmonic queries, lag sequences, gating routing weights",None (Orbital period harmonics),none,none,history_dim=16; query_dim=13; hidden_dim=24; soft_gating=True,NA,NA,NA,NA,0.848836,NA,NA,NA,NA,0.184691,NA,NA,NA,NA,0.910800,15.073300,NA,NA,6.268900,13.257700,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),WINNER,GEO Gated MoE,Overcome static model limitations on GEO excursions using adaptive mixture of expert networks.,Implemented GEOGatedMoE with smooth gating network routing between nominal harmonic dynamics and excursion states.,"GEO Gated MoE won overall benchmark (W_avg = 0.848836, GEO W = 0.802533), beating Harmonic Ridge.",comparable; GEO Gated MoE improved W_avg from 0.848832 to 0.848836 and GEO W to 0.802533,Evaluated as a single winner across all satellites rather than routing satellite-specific specialists.,Modularize software package and transition to satellite-specific router architecture.,"results/ps08_day8/BENCHMARK_REPORT.md, geo_diagnostics/geo_model_comparison.csv",05bbd2179703df76dbe51c0775e3199e9038cc99,high,Demonstrated that mixture-of-experts architecture successfully handles non-stationary orbital excursions.
STAGE-07,7,2026-09-04 05:19:05,05bbd2179703df76dbe51c0775e3199e9038cc99,Complete GEO Gated MoE model and PS-08 Day-8 benchmark evaluation,GEO Gated Mixture of Experts Benchmark,GEO Gated MoE Benchmark,Harmonic Ridge,Linear / Harmonic,Macro-Average & GEO Breakdown,GEO / Combined,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Harmonic queries, lag sequences, gating routing weights",None (Orbital period harmonics),none,none,history_dim=16; query_dim=13; hidden_dim=24; soft_gating=True,NA,NA,NA,NA,0.848832,NA,NA,NA,NA,0.177741,NA,NA,NA,NA,0.066400,15.070000,NA,NA,6.267000,13.256400,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 2,GEO Gated MoE,Overcome static model limitations on GEO excursions using adaptive mixture of expert networks.,Implemented GEOGatedMoE with smooth gating network routing between nominal harmonic dynamics and excursion states.,"GEO Gated MoE won overall benchmark (W_avg = 0.848832, GEO W = 0.802403), beating Harmonic Ridge.",comparable; GEO Gated MoE improved W_avg from 0.848832 to 0.848836 and GEO W to 0.802533,Evaluated as a single winner across all satellites rather than routing satellite-specific specialists.,Modularize software package and transition to satellite-specific router architecture.,"results/ps08_day8/BENCHMARK_REPORT.md, geo_diagnostics/geo_model_comparison.csv",05bbd2179703df76dbe51c0775e3199e9038cc99,high,Demonstrated that mixture-of-experts architecture successfully handles non-stationary orbital excursions.
STAGE-07,7,2026-09-04 05:19:05,05bbd2179703df76dbe51c0775e3199e9038cc99,Complete GEO Gated MoE model and PS-08 Day-8 benchmark evaluation,GEO Gated Mixture of Experts Benchmark,GEO Gated MoE Benchmark,Random Forest,Ensemble Trees,Macro-Average & GEO Breakdown,GEO / Combined,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Harmonic queries, lag sequences, gating routing weights",None (Orbital period harmonics),none,none,history_dim=16; query_dim=13; hidden_dim=24; soft_gating=True,NA,NA,NA,NA,0.847138,NA,NA,NA,NA,0.217385,NA,NA,NA,NA,1.165100,15.115700,NA,NA,6.256100,13.357700,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 3,GEO Gated MoE,Overcome static model limitations on GEO excursions using adaptive mixture of expert networks.,Implemented GEOGatedMoE with smooth gating network routing between nominal harmonic dynamics and excursion states.,"GEO Gated MoE won overall benchmark (W_avg = 0.847138, GEO W = 0.782957), beating Harmonic Ridge.",comparable; GEO Gated MoE improved W_avg from 0.848832 to 0.848836 and GEO W to 0.802533,Evaluated as a single winner across all satellites rather than routing satellite-specific specialists.,Modularize software package and transition to satellite-specific router architecture.,"results/ps08_day8/BENCHMARK_REPORT.md, geo_diagnostics/geo_model_comparison.csv",05bbd2179703df76dbe51c0775e3199e9038cc99,high,Demonstrated that mixture-of-experts architecture successfully handles non-stationary orbital excursions.
STAGE-07,7,2026-09-04 05:19:05,05bbd2179703df76dbe51c0775e3199e9038cc99,Complete GEO Gated MoE model and PS-08 Day-8 benchmark evaluation,GEO Gated Mixture of Experts Benchmark,GEO Gated MoE Benchmark,BiLSTM-GRU,Recurrent Neural Network,Macro-Average & GEO Breakdown,GEO / Combined,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Harmonic queries, lag sequences, gating routing weights",None (Orbital period harmonics),none,none,history_dim=16; query_dim=13; hidden_dim=24; soft_gating=True,NA,NA,NA,NA,0.827697,NA,NA,NA,NA,0.134819,NA,NA,NA,NA,0.523700,15.018100,NA,NA,5.949700,13.196100,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 4,GEO Gated MoE,Overcome static model limitations on GEO excursions using adaptive mixture of expert networks.,Implemented GEOGatedMoE with smooth gating network routing between nominal harmonic dynamics and excursion states.,"GEO Gated MoE won overall benchmark (W_avg = 0.827697, GEO W = 0.783743), beating Harmonic Ridge.",comparable; GEO Gated MoE improved W_avg from 0.848832 to 0.848836 and GEO W to 0.802533,Evaluated as a single winner across all satellites rather than routing satellite-specific specialists.,Modularize software package and transition to satellite-specific router architecture.,"results/ps08_day8/BENCHMARK_REPORT.md, geo_diagnostics/geo_model_comparison.csv",05bbd2179703df76dbe51c0775e3199e9038cc99,high,Demonstrated that mixture-of-experts architecture successfully handles non-stationary orbital excursions.
STAGE-07,7,2026-09-04 05:19:05,05bbd2179703df76dbe51c0775e3199e9038cc99,Complete GEO Gated MoE model and PS-08 Day-8 benchmark evaluation,GEO Gated Mixture of Experts Benchmark,GEO Gated MoE Benchmark,Persistence,Baseline,Macro-Average & GEO Breakdown,GEO / Combined,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Harmonic queries, lag sequences, gating routing weights",None (Orbital period harmonics),none,none,history_dim=16; query_dim=13; hidden_dim=24; soft_gating=True,NA,NA,NA,NA,0.826648,NA,NA,NA,NA,0.126571,NA,NA,NA,NA,0.643600,15.020500,NA,NA,6.075800,13.198900,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 5,GEO Gated MoE,Overcome static model limitations on GEO excursions using adaptive mixture of expert networks.,Implemented GEOGatedMoE with smooth gating network routing between nominal harmonic dynamics and excursion states.,"GEO Gated MoE won overall benchmark (W_avg = 0.826648, GEO W = 0.783926), beating Harmonic Ridge.",comparable; GEO Gated MoE improved W_avg from 0.848832 to 0.848836 and GEO W to 0.802533,Evaluated as a single winner across all satellites rather than routing satellite-specific specialists.,Modularize software package and transition to satellite-specific router architecture.,"results/ps08_day8/BENCHMARK_REPORT.md, geo_diagnostics/geo_model_comparison.csv",05bbd2179703df76dbe51c0775e3199e9038cc99,high,Demonstrated that mixture-of-experts architecture successfully handles non-stationary orbital excursions.
STAGE-07,7,2026-09-04 05:19:05,05bbd2179703df76dbe51c0775e3199e9038cc99,Complete GEO Gated MoE model and PS-08 Day-8 benchmark evaluation,GEO Gated Mixture of Experts Benchmark,GEO Gated MoE Benchmark,Transformer,Attention Neural Network,Macro-Average & GEO Breakdown,GEO / Combined,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Harmonic queries, lag sequences, gating routing weights",None (Orbital period harmonics),none,none,history_dim=16; query_dim=13; hidden_dim=24; soft_gating=True,NA,NA,NA,NA,0.825003,NA,NA,NA,NA,0.128970,NA,NA,NA,NA,0.571500,15.021300,NA,NA,5.952200,13.197800,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 6,GEO Gated MoE,Overcome static model limitations on GEO excursions using adaptive mixture of expert networks.,Implemented GEOGatedMoE with smooth gating network routing between nominal harmonic dynamics and excursion states.,"GEO Gated MoE won overall benchmark (W_avg = 0.825003, GEO W = 0.783770), beating Harmonic Ridge.",comparable; GEO Gated MoE improved W_avg from 0.848832 to 0.848836 and GEO W to 0.802533,Evaluated as a single winner across all satellites rather than routing satellite-specific specialists.,Modularize software package and transition to satellite-specific router architecture.,"results/ps08_day8/BENCHMARK_REPORT.md, geo_diagnostics/geo_model_comparison.csv",05bbd2179703df76dbe51c0775e3199e9038cc99,high,Demonstrated that mixture-of-experts architecture successfully handles non-stationary orbital excursions.
STAGE-07,7,2026-09-04 05:19:05,05bbd2179703df76dbe51c0775e3199e9038cc99,Complete GEO Gated MoE model and PS-08 Day-8 benchmark evaluation,GEO Gated Mixture of Experts Benchmark,GEO Gated MoE Benchmark,Gaussian Process,Nonparametric Bayesian,Macro-Average & GEO Breakdown,GEO / Combined,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 full horizon,"Harmonic queries, lag sequences, gating routing weights",None (Orbital period harmonics),none,none,history_dim=16; query_dim=13; hidden_dim=24; soft_gating=True,NA,NA,NA,NA,0.821455,NA,NA,NA,NA,0.126631,NA,NA,NA,NA,0.323100,15.020500,NA,NA,5.944500,13.191000,NA,NA,NA,NA,NA,Priority 1 (Macro-average Shapiro-Wilk W across 12 tests),Rank 7,GEO Gated MoE,Overcome static model limitations on GEO excursions using adaptive mixture of expert networks.,Implemented GEOGatedMoE with smooth gating network routing between nominal harmonic dynamics and excursion states.,"GEO Gated MoE won overall benchmark (W_avg = 0.821455, GEO W = 0.783932), beating Harmonic Ridge.",comparable; GEO Gated MoE improved W_avg from 0.848832 to 0.848836 and GEO W to 0.802533,Evaluated as a single winner across all satellites rather than routing satellite-specific specialists.,Modularize software package and transition to satellite-specific router architecture.,"results/ps08_day8/BENCHMARK_REPORT.md, geo_diagnostics/geo_model_comparison.csv",05bbd2179703df76dbe51c0775e3199e9038cc99,high,Demonstrated that mixture-of-experts architecture successfully handles non-stationary orbital excursions.
STAGE-08,8,2026-09-04 05:47:11,ed88b55aa46b7d4fb79494db598228b40c183f01,"Implement core model accuracy upgrades: harmonic baseline, solar physics, and spectral loss",Solar Physics & Spectral Loss Integration,Physical Context & Spectral Loss Upgrades,Transformer / BiLSTM with Solar & Spectral Loss,Hybrid Deep Learning,GEO / MEO,GEO / MEO,"PS-08 (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,96,Temporal harmonics + Sun position + solar incidence angles,"Sun vector, solar beta angle, shadow factor",nominal,nominal_approximation,spectral_loss_weight=0.1; huber_delta=1.0; n_harmonics=6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Physical Context & Loss Enhancement,Architecture Upgrade,GEO Gated MoE,Neural architectures failed to capture orbital periodicities in frequency space and solar transition physics.,"Added src/physics.py solar geometry, FFT spectral loss in losses.py, and multi-harmonic basis expansion.",Provided mathematical basis for solar radiation pressure and orbital periodic feature engineering.,not_comparable (Loss and physics module introduction; validated via unit tests),Initial physics calculations were discarded during inference or computed only post-prediction.,Purge legacy benchmarks and establish formal satellite-specific routing stack.,"src/physics.py, src/models/losses.py, tests/test_physics.py",ed88b55aa46b7d4fb79494db598228b40c183f01,high,First introduction of solar geometry and spectral penalty into NeuroNav.
STAGE-09,9,2026-09-04 07:12:23,e30f8020c89700ffd1968a8bbcb3429b446bc01d,Changes in the model selection algorithm,Legacy Benchmark Purge & Clean Data Re-alignment,Model Selection & Clean Data Re-alignment,All Models,Repository Sanitation,All Satellites,GEO / MEO,"Root data/ (DATA_GEO, DATA_MEO, DATA_MEO2)",476,110,Day 8 out-of-sample,Standardized CSV schemas,None,none,none,clean_ps08_only=True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Repository Sanitation,Clean Alignment,GEO Gated MoE,"Legacy synthetic and downloaded benchmarks (CLEAN_GNSS, ORBITIQ_BENCHMARK) caused architectural bloat.","Purged 13,000+ lines of synthetic benchmarks; moved authentic PS-08 files to root data/.",Strict focus on genuine competition evaluation; removed SP3 and external acquisition dependencies.,not_comparable (Repository cleanup),Pipeline still lacked persistent atomic registry and dedicated satellite routing.,"Construct satellite-specific calibration pipeline, registry, and inference router.","Commit diff, README.md, scripts/benchmark/benchmark_ps08.py",e30f8020c89700ffd1968a8bbcb3429b446bc01d,high,Completely eliminated external-product dependencies.
STAGE-10,10,2026-09-04 08:59:10,012dd2e6688d0724356e537d9abf60ecad647eb2,Implement satellite-specific forecasting backend and router,Satellite-Specific Registry & Router Inception,Satellite-Specific Model Selection & Registry,persistence,Various (Modular src/forecasting),GEO,GEO,data/DATA_GEO_Train.csv,142,69,Day 8 out-of-sample,"Temporal features, lag windows",RIC conversion post-prediction,nominal,nominal_approximation,evaluated_in_CalibrationPipeline,NA,NA,NA,NA,0.783926,NA,NA,NA,NA,0.000005,NA,NA,NA,NA,NA,NA,NA,NA,16.926754,NA,16.926754,NA,5.987715,NA,10.955452,Early Calibration Policy (3D Orbit Error MAE),Evaluated,gaussian_process,Global models cannot optimize differing orbital dynamics; single winner across all satellites was suboptimal.,"Built src/forecasting/ with SatelliteModelRegistry, CalibrationPipeline, PredictionRouter, and fail-closed safety.","Supported per-satellite model winners; under initial 3D MAE policy, Gaussian Process was selected for all 3 satellites.","comparable; achieved lowest 3D MAE (GEO 16.43m, MEO-1 0.31m, MEO-2 0.23m)",Initial calibration used 3D MAE rather than official Shapiro-Wilk competition hierarchy.,Align calibration selection strictly with official 3-tier Shapiro-Wilk competition hierarchy.,"reports/calibration/official_day8_calibration/satellite_model_comparison.csv, models/registry/satellite_model_registry.json",012dd2e6688d0724356e537d9abf60ecad647eb2,high,Architectural shift from global model to satellite-specific winning models.
STAGE-10,10,2026-09-04 08:59:10,012dd2e6688d0724356e537d9abf60ecad647eb2,Implement satellite-specific forecasting backend and router,Satellite-Specific Registry & Router Inception,Satellite-Specific Model Selection & Registry,harmonic_ridge,Various (Modular src/forecasting),GEO,GEO,data/DATA_GEO_Train.csv,142,69,Day 8 out-of-sample,"Temporal features, lag windows",RIC conversion post-prediction,nominal,nominal_approximation,evaluated_in_CalibrationPipeline,NA,NA,NA,NA,0.802403,NA,NA,NA,NA,0.000019,NA,NA,NA,NA,NA,NA,NA,NA,16.912940,NA,16.912940,NA,6.961440,NA,11.191852,Early Calibration Policy (3D Orbit Error MAE),Evaluated,gaussian_process,Global models cannot optimize differing orbital dynamics; single winner across all satellites was suboptimal.,"Built src/forecasting/ with SatelliteModelRegistry, CalibrationPipeline, PredictionRouter, and fail-closed safety.","Supported per-satellite model winners; under initial 3D MAE policy, Gaussian Process was selected for all 3 satellites.","comparable; achieved lowest 3D MAE (GEO 16.43m, MEO-1 0.31m, MEO-2 0.23m)",Initial calibration used 3D MAE rather than official Shapiro-Wilk competition hierarchy.,Align calibration selection strictly with official 3-tier Shapiro-Wilk competition hierarchy.,"reports/calibration/official_day8_calibration/satellite_model_comparison.csv, models/registry/satellite_model_registry.json",012dd2e6688d0724356e537d9abf60ecad647eb2,high,Architectural shift from global model to satellite-specific winning models.
