dataset,lag_min,pairs,past_variable,future_variable,correlation
DATA_GEO_Train.csv,60,65,satclockerror (m),y_error (m),-0.005659212604897582
DATA_GEO_Train.csv,60,65,satclockerror (m),z_error (m),-0.016197680025451983
DATA_GEO_Train.csv,60,65,satclockerror (m),satclockerror (m),-0.12094972888495838
DATA_GEO_Train.csv,120,129,x_error (m),x_error (m),-0.06369197405763027
DATA_GEO_Train.csv,120,129,x_error (m),y_error (m),-0.029854723566639107
DATA_GEO_Train.csv,120,129,x_error (m),z_error (m),0.02419292344900665
DATA_GEO_Train.csv,120,129,x_error (m),satclockerror (m),-0.020799958552377814
DATA_GEO_Train.csv,120,129,y_error (m),x_error (m),-0.014374747992864763
DATA_GEO_Train.csv,120,129,y_error (m),y_error (m),-0.0069476861349422716
DATA_GEO_Train.csv,120,129,y_error (m),z_error (m),0.033230302879285085
DATA_GEO_Train.csv,120,129,y_error (m),satclockerror (m),-0.0038527844928324317
DATA_GEO_Train.csv,120,129,z_error (m),x_error (m),-0.10870934012243161
DATA_GEO_Train.csv,120,129,z_error (m),y_error (m),-0.05258446958253462
DATA_GEO_Train.csv,120,129,z_error (m),z_error (m),0.025150370210956768
DATA_GEO_Train.csv,120,129,z_error (m),satclockerror (m),0.05483463947652454
DATA_GEO_Train.csv,120,129,satclockerror (m),x_error (m),0.025814254095914962
DATA_GEO_Train.csv,120,129,satclockerror (m),y_error (m),0.026185045534604864
DATA_GEO_Train.csv,120,129,satclockerror (m),z_error (m),-0.04239490307244214
DATA_GEO_Train.csv,120,129,satclockerror (m),satclockerror (m),0.07228508951927133
DATA_GEO_Test.csv,10,1,x_error (m),x_error (m),
DATA_GEO_Test.csv,10,1,x_error (m),y_error (m),
DATA_GEO_Test.csv,10,1,x_error (m),z_error (m),
DATA_GEO_Test.csv,10,1,x_error (m),satclockerror (m),
DATA_GEO_Test.csv,10,1,y_error (m),x_error (m),
DATA_GEO_Test.csv,10,1,y_error (m),y_error (m),
DATA_GEO_Test.csv,10,1,y_error (m),z_error (m),
DATA_GEO_Test.csv,10,1,y_error (m),satclockerror (m),
DATA_GEO_Test.csv,10,1,z_error (m),x_error (m),
DATA_GEO_Test.csv,10,1,z_error (m),y_error (m),
DATA_GEO_Test.csv,10,1,z_error (m),z_error (m),
DATA_GEO_Test.csv,10,1,z_error (m),satclockerror (m),
DATA_GEO_Test.csv,10,1,satclockerror (m),x_error (m),
DATA_GEO_Test.csv,10,1,satclockerror (m),y_error (m),
DATA_GEO_Test.csv,10,1,satclockerror (m),z_error (m),
DATA_GEO_Test.csv,10,1,satclockerror (m),satclockerror (m),
DATA_GEO_Test.csv,15,59,x_error (m),x_error (m),-0.3687016660817075
DATA_GEO_Test.csv,15,59,x_error (m),y_error (m),0.07676242132405925
DATA_GEO_Test.csv,15,59,x_error (m),z_error (m),-0.1703279663992872
DATA_GEO_Test.csv,15,59,x_error (m),satclockerror (m),0.31992874806407245
DATA_GEO_Test.csv,15,59,y_error (m),x_error (m),-0.1266155719499988
DATA_GEO_Test.csv,15,59,y_error (m),y_error (m),-0.3105653917530704
DATA_GEO_Test.csv,15,59,y_error (m),z_error (m),0.03264066089552081
DATA_GEO_Test.csv,15,59,y_error (m),satclockerror (m),-0.19908218920293233
DATA_GEO_Test.csv,15,59,z_error (m),x_error (m),-0.004101998887586601
DATA_GEO_Test.csv,15,59,z_error (m),y_error (m),0.38016314769952236
DATA_GEO_Test.csv,15,59,z_error (m),z_error (m),-0.21098619008794078
DATA_GEO_Test.csv,15,59,z_error (m),satclockerror (m),0.3541841778488866
DATA_GEO_Test.csv,15,59,satclockerror (m),x_error (m),0.12595475131482312
DATA_GEO_Test.csv,15,59,satclockerror (m),y_error (m),-0.3551289732051077
DATA_GEO_Test.csv,15,59,satclockerror (m),z_error (m),0.15315882675543582
DATA_GEO_Test.csv,15,59,satclockerror (m),satclockerror (m),-0.41070736204670427
DATA_GEO_Test.csv,30,58,x_error (m),x_error (m),-0.10717892516775823
DATA_GEO_Test.csv,30,58,x_error (m),y_error (m),-0.06382536726095028
DATA_GEO_Test.csv,30,58,x_error (m),z_error (m),-0.11014464400281293
DATA_GEO_Test.csv,30,58,x_error (m),satclockerror (m),0.026952602284670783
DATA_GEO_Test.csv,30,58,y_error (m),x_error (m),0.0600316396775883
DATA_GEO_Test.csv,30,58,y_error (m),y_error (m),-0.31186986931410093
DATA_GEO_Test.csv,30,58,y_error (m),z_error (m),-0.06167644860581806
DATA_GEO_Test.csv,30,58,y_error (m),satclockerror (m),-0.28038245893956587
DATA_GEO_Test.csv,30,58,z_error (m),x_error (m),0.04116033873043018
DATA_GEO_Test.csv,30,58,z_error (m),y_error (m),0.14216081003535583
DATA_GEO_Test.csv,30,58,z_error (m),z_error (m),0.007279336080193458
DATA_GEO_Test.csv,30,58,z_error (m),satclockerror (m),0.0814693272938105
DATA_GEO_Test.csv,30,58,satclockerror (m),x_error (m),0.1080380203857218
DATA_GEO_Test.csv,30,58,satclockerror (m),y_error (m),-0.25762080914122826
DATA_GEO_Test.csv,30,58,satclockerror (m),z_error (m),0.01936105604234987
DATA_GEO_Test.csv,30,58,satclockerror (m),satclockerror (m),-0.27344012376376736
DATA_GEO_Test.csv,60,54,x_error (m),x_error (m),-0.37215627066284146
DATA_GEO_Test.csv,60,54,x_error (m),y_error (m),0.2685693193566614
DATA_GEO_Test.csv,60,54,x_error (m),z_error (m),-0.4157344406727016
DATA_GEO_Test.csv,60,54,x_error (m),satclockerror (m),0.4428573089512978
DATA_GEO_Test.csv,60,54,y_error (m),x_error (m),-0.05187072547258123
DATA_GEO_Test.csv,60,54,y_error (m),y_error (m),-0.1271892809255929
DATA_GEO_Test.csv,60,54,y_error (m),z_error (m),-0.13676218623791125
DATA_GEO_Test.csv,60,54,y_error (m),satclockerror (m),-0.06422495605661109
DATA_GEO_Test.csv,60,54,z_error (m),x_error (m),0.025067009027519595
DATA_GEO_Test.csv,60,54,z_error (m),y_error (m),-0.13959309471224568
DATA_GEO_Test.csv,60,54,z_error (m),z_error (m),-0.19061646066324678
DATA_GEO_Test.csv,60,54,z_error (m),satclockerror (m),-0.11179223802837487
DATA_GEO_Test.csv,60,54,satclockerror (m),x_error (m),0.19766780647057716
DATA_GEO_Test.csv,60,54,satclockerror (m),y_error (m),-0.26371589397723283
DATA_GEO_Test.csv,60,54,satclockerror (m),z_error (m),0.15565079162123654
DATA_GEO_Test.csv,60,54,satclockerror (m),satclockerror (m),-0.3281992706003564
DATA_GEO_Test.csv,120,54,x_error (m),x_error (m),-0.01177952322944746
DATA_GEO_Test.csv,120,54,x_error (m),y_error (m),-0.06615492263489904
DATA_GEO_Test.csv,120,54,x_error (m),z_error (m),-0.12082950890135728
DATA_GEO_Test.csv,120,54,x_error (m),satclockerror (m),-0.04676504140904726
DATA_GEO_Test.csv,120,54,y_error (m),x_error (m),-0.004258524751496527
DATA_GEO_Test.csv,120,54,y_error (m),y_error (m),-0.06059479764868521
DATA_GEO_Test.csv,120,54,y_error (m),z_error (m),-0.13267898333907469
DATA_GEO_Test.csv,120,54,y_error (m),satclockerror (m),-0.03553292413503158
DATA_GEO_Test.csv,120,54,z_error (m),x_error (m),-0.04053160136009229
DATA_GEO_Test.csv,120,54,z_error (m),y_error (m),-0.13626811934986915
DATA_GEO_Test.csv,120,54,z_error (m),z_error (m),-0.04579105243953727
DATA_GEO_Test.csv,120,54,z_error (m),satclockerror (m),-0.07557821849719663
DATA_GEO_Test.csv,120,54,satclockerror (m),x_error (m),-0.0014280834173673429
DATA_GEO_Test.csv,120,54,satclockerror (m),y_error (m),0.001373751222697321
DATA_GEO_Test.csv,120,54,satclockerror (m),z_error (m),-0.05000505288819086
DATA_GEO_Test.csv,120,54,satclockerror (m),satclockerror (m),0.012519181024061554
DATA_MEO_Train.csv,10,0,x_error (m),x_error (m),
DATA_MEO_Train.csv,10,0,x_error (m),y_error (m),
DATA_MEO_Train.csv,10,0,x_error (m),z_error (m),
DATA_MEO_Train.csv,10,0,x_error (m),satclockerror (m),
DATA_MEO_Train.csv,10,0,y_error (m),x_error (m),
DATA_MEO_Train.csv,10,0,y_error (m),y_error (m),
DATA_MEO_Train.csv,10,0,y_error (m),z_error (m),
DATA_MEO_Train.csv,10,0,y_error (m),satclockerror (m),
DATA_MEO_Train.csv,10,0,z_error (m),x_error (m),
DATA_MEO_Train.csv,10,0,z_error (m),y_error (m),
DATA_MEO_Train.csv,10,0,z_error (m),z_error (m),
DATA_MEO_Train.csv,10,0,z_error (m),satclockerror (m),
DATA_MEO_Train.csv,10,0,satclockerror (m),x_error (m),
DATA_MEO_Train.csv,10,0,satclockerror (m),y_error (m),
DATA_MEO_Train.csv,10,0,satclockerror (m),z_error (m),
DATA_MEO_Train.csv,10,0,satclockerror (m),satclockerror (m),
DATA_MEO_Train.csv,15,1,x_error (m),x_error (m),
DATA_MEO_Train.csv,15,1,x_error (m),y_error (m),
DATA_MEO_Train.csv,15,1,x_error (m),z_error (m),
DATA_MEO_Train.csv,15,1,x_error (m),satclockerror (m),
DATA_MEO_Train.csv,15,1,y_error (m),x_error (m),
DATA_MEO_Train.csv,15,1,y_error (m),y_error (m),
DATA_MEO_Train.csv,15,1,y_error (m),z_error (m),
DATA_MEO_Train.csv,15,1,y_error (m),satclockerror (m),
DATA_MEO_Train.csv,15,1,z_error (m),x_error (m),
DATA_MEO_Train.csv,15,1,z_error (m),y_error (m),
DATA_MEO_Train.csv,15,1,z_error (m),z_error (m),
DATA_MEO_Train.csv,15,1,z_error (m),satclockerror (m),
DATA_MEO_Train.csv,15,1,satclockerror (m),x_error (m),
DATA_MEO_Train.csv,15,1,satclockerror (m),y_error (m),
DATA_MEO_Train.csv,15,1,satclockerror (m),z_error (m),
DATA_MEO_Train.csv,15,1,satclockerror (m),satclockerror (m),
DATA_MEO_Train.csv,30,0,x_error (m),x_error (m),
DATA_MEO_Train.csv,30,0,x_error (m),y_error (m),
DATA_MEO_Train.csv,30,0,x_error (m),z_error (m),
DATA_MEO_Train.csv,30,0,x_error (m),satclockerror (m),
DATA_MEO_Train.csv,30,0,y_error (m),x_error (m),
DATA_MEO_Train.csv,30,0,y_error (m),y_error (m),
DATA_MEO_Train.csv,30,0,y_error (m),z_error (m),
DATA_MEO_Train.csv,30,0,y_error (m),satclockerror (m),
DATA_MEO_Train.csv,30,0,z_error (m),x_error (m),
DATA_MEO_Train.csv,30,0,z_error (m),y_error (m),
DATA_MEO_Train.csv,30,0,z_error (m),z_error (m),
DATA_MEO_Train.csv,30,0,z_error (m),satclockerror (m),
DATA_MEO_Train.csv,30,0,satclockerror (m),x_error (m),
DATA_MEO_Train.csv,30,0,satclockerror (m),y_error (m),
DATA_MEO_Train.csv,30,0,satclockerror (m),z_error (m),
DATA_MEO_Train.csv,30,0,satclockerror (m),satclockerror (m),
DATA_MEO_Train.csv,60,37,x_error (m),x_error (m),0.7976034072294658
DATA_MEO_Train.csv,60,37,x_error (m),y_error (m),0.5284267238127835
DATA_MEO_Train.csv,60,37,x_error (m),z_error (m),0.0047466119326301315
DATA_MEO_Train.csv,60,37,x_error (m),satclockerror (m),-0.024365493082390968
DATA_MEO_Train.csv,60,37,y_error (m),x_error (m),0.500361325942798
DATA_MEO_Train.csv,60,37,y_error (m),y_error (m),0.9508802824062647
DATA_MEO_Train.csv,60,37,y_error (m),z_error (m),-0.2631436109046203
DATA_MEO_Train.csv,60,37,y_error (m),satclockerror (m),-0.08451318209008704
DATA_MEO_Train.csv,60,37,z_error (m),x_error (m),-0.020318722437689764
DATA_MEO_Train.csv,60,37,z_error (m),y_error (m),-0.23914227788965448
DATA_MEO_Train.csv,60,37,z_error (m),z_error (m),0.9433800809014238
DATA_MEO_Train.csv,60,37,z_error (m),satclockerror (m),0.20304874570004727
DATA_MEO_Train.csv,60,37,satclockerror (m),x_error (m),-0.22590576948039745
DATA_MEO_Train.csv,60,37,satclockerror (m),y_error (m),0.06807248114450146
DATA_MEO_Train.csv,60,37,satclockerror (m),z_error (m),-0.021593422406040397
DATA_MEO_Train.csv,60,37,satclockerror (m),satclockerror (m),0.015502649401451496
DATA_MEO_Train.csv,120,30,x_error (m),x_error (m),0.40370750996960286
DATA_MEO_Train.csv,120,30,x_error (m),y_error (m),0.5342907714643316
DATA_MEO_Train.csv,120,30,x_error (m),z_error (m),-0.10141321396210629
DATA_MEO_Train.csv,120,30,x_error (m),satclockerror (m),0.38447005144117724
DATA_MEO_Train.csv,120,30,y_error (m),x_error (m),0.418352995939911
DATA_MEO_Train.csv,120,30,y_error (m),y_error (m),0.8332480631366229
DATA_MEO_Train.csv,120,30,y_error (m),z_error (m),-0.3406417646618366
DATA_MEO_Train.csv,120,30,y_error (m),satclockerror (m),-0.013321694452168685
DATA_MEO_Train.csv,120,30,z_error (m),x_error (m),-0.14499266409668968
DATA_MEO_Train.csv,120,30,z_error (m),y_error (m),-0.2691493600502368
DATA_MEO_Train.csv,120,30,z_error (m),z_error (m),0.8102595141642204
DATA_MEO_Train.csv,120,30,z_error (m),satclockerror (m),0.2855940492401412
DATA_MEO_Train.csv,120,30,satclockerror (m),x_error (m),-0.05292671819665086
DATA_MEO_Train.csv,120,30,satclockerror (m),y_error (m),0.05060286467475084
DATA_MEO_Train.csv,120,30,satclockerror (m),z_error (m),-0.1066427678686363
DATA_MEO_Train.csv,120,30,satclockerror (m),satclockerror (m),-0.6079663087341184
DATA_MEO_Test.csv,10,0,x_error (m),x_error (m),
DATA_MEO_Test.csv,10,0,x_error (m),y_error (m),
DATA_MEO_Test.csv,10,0,x_error (m),z_error (m),
DATA_MEO_Test.csv,10,0,x_error (m),satclockerror (m),
DATA_MEO_Test.csv,10,0,y_error (m),x_error (m),
DATA_MEO_Test.csv,10,0,y_error (m),y_error (m),
DATA_MEO_Test.csv,10,0,y_error (m),z_error (m),
DATA_MEO_Test.csv,10,0,y_error (m),satclockerror (m),
DATA_MEO_Test.csv,10,0,z_error (m),x_error (m),
DATA_MEO_Test.csv,10,0,z_error (m),y_error (m),
DATA_MEO_Test.csv,10,0,z_error (m),z_error (m),
DATA_MEO_Test.csv,10,0,z_error (m),satclockerror (m),
DATA_MEO_Test.csv,10,0,satclockerror (m),x_error (m),
DATA_MEO_Test.csv,10,0,satclockerror (m),y_error (m),
DATA_MEO_Test.csv,10,0,satclockerror (m),z_error (m),
DATA_MEO_Test.csv,10,0,satclockerror (m),satclockerror (m),
DATA_MEO_Test.csv,15,0,x_error (m),x_error (m),
DATA_MEO_Test.csv,15,0,x_error (m),y_error (m),
DATA_MEO_Test.csv,15,0,x_error (m),z_error (m),
DATA_MEO_Test.csv,15,0,x_error (m),satclockerror (m),
DATA_MEO_Test.csv,15,0,y_error (m),x_error (m),
DATA_MEO_Test.csv,15,0,y_error (m),y_error (m),
DATA_MEO_Test.csv,15,0,y_error (m),z_error (m),
DATA_MEO_Test.csv,15,0,y_error (m),satclockerror (m),
DATA_MEO_Test.csv,15,0,z_error (m),x_error (m),
DATA_MEO_Test.csv,15,0,z_error (m),y_error (m),
DATA_MEO_Test.csv,15,0,z_error (m),z_error (m),
DATA_MEO_Test.csv,15,0,z_error (m),satclockerror (m),
DATA_MEO_Test.csv,15,0,satclockerror (m),x_error (m),
DATA_MEO_Test.csv,15,0,satclockerror (m),y_error (m),
DATA_MEO_Test.csv,15,0,satclockerror (m),z_error (m),
DATA_MEO_Test.csv,15,0,satclockerror (m),satclockerror (m),
DATA_MEO_Test.csv,30,0,x_error (m),x_error (m),
DATA_MEO_Test.csv,30,0,x_error (m),y_error (m),
DATA_MEO_Test.csv,30,0,x_error (m),z_error (m),
DATA_MEO_Test.csv,30,0,x_error (m),satclockerror (m),
DATA_MEO_Test.csv,30,0,y_error (m),x_error (m),
DATA_MEO_Test.csv,30,0,y_error (m),y_error (m),
DATA_MEO_Test.csv,30,0,y_error (m),z_error (m),
DATA_MEO_Test.csv,30,0,y_error (m),satclockerror (m),
DATA_MEO_Test.csv,30,0,z_error (m),x_error (m),
DATA_MEO_Test.csv,30,0,z_error (m),y_error (m),
DATA_MEO_Test.csv,30,0,z_error (m),z_error (m),
DATA_MEO_Test.csv,30,0,z_error (m),satclockerror (m),
DATA_MEO_Test.csv,30,0,satclockerror (m),x_error (m),
DATA_MEO_Test.csv,30,0,satclockerror (m),y_error (m),
DATA_MEO_Test.csv,30,0,satclockerror (m),z_error (m),
DATA_MEO_Test.csv,30,0,satclockerror (m),satclockerror (m),
DATA_MEO_Test.csv,60,5,x_error (m),x_error (m),0.28226116465064016
DATA_MEO_Test.csv,60,5,x_error (m),y_error (m),-0.4540115849996394
DATA_MEO_Test.csv,60,5,x_error (m),z_error (m),0.07567622997091064
DATA_MEO_Test.csv,60,5,x_error (m),satclockerror (m),0.15552216979606015
DATA_MEO_Test.csv,60,5,y_error (m),x_error (m),0.7621318194709331
DATA_MEO_Test.csv,60,5,y_error (m),y_error (m),0.9807847140065372
DATA_MEO_Test.csv,60,5,y_error (m),z_error (m),0.9198154972656993
DATA_MEO_Test.csv,60,5,y_error (m),satclockerror (m),-0.7017906919937946
DATA_MEO_Test.csv,60,5,z_error (m),x_error (m),0.9685755338510408
DATA_MEO_Test.csv,60,5,z_error (m),y_error (m),0.4665580857298781
DATA_MEO_Test.csv,60,5,z_error (m),z_error (m),0.8233044413553071
DATA_MEO_Test.csv,60,5,z_error (m),satclockerror (m),-0.422638627157904
DATA_MEO_Test.csv,60,5,satclockerror (m),x_error (m),-0.19162611358106868
DATA_MEO_Test.csv,60,5,satclockerror (m),y_error (m),0.27348054597923865
DATA_MEO_Test.csv,60,5,satclockerror (m),z_error (m),-0.2018340680795499
DATA_MEO_Test.csv,60,5,satclockerror (m),satclockerror (m),-0.13909151900663613
DATA_MEO_Test.csv,120,4,x_error (m),x_error (m),
DATA_MEO_Test.csv,120,4,x_error (m),y_error (m),
DATA_MEO_Test.csv,120,4,x_error (m),z_error (m),
DATA_MEO_Test.csv,120,4,x_error (m),satclockerror (m),
DATA_MEO_Test.csv,120,4,y_error (m),x_error (m),
DATA_MEO_Test.csv,120,4,y_error (m),y_error (m),
DATA_MEO_Test.csv,120,4,y_error (m),z_error (m),
DATA_MEO_Test.csv,120,4,y_error (m),satclockerror (m),
DATA_MEO_Test.csv,120,4,z_error (m),x_error (m),
DATA_MEO_Test.csv,120,4,z_error (m),y_error (m),
DATA_MEO_Test.csv,120,4,z_error (m),z_error (m),
DATA_MEO_Test.csv,120,4,z_error (m),satclockerror (m),
DATA_MEO_Test.csv,120,4,satclockerror (m),x_error (m),
DATA_MEO_Test.csv,120,4,satclockerror (m),y_error (m),
DATA_MEO_Test.csv,120,4,satclockerror (m),z_error (m),
DATA_MEO_Test.csv,120,4,satclockerror (m),satclockerror (m),
DATA_MEO_Train2.csv,10,96,x_error (m),x_error (m),0.3731449759684782
DATA_MEO_Train2.csv,10,96,x_error (m),y_error (m),0.04406723326922113
DATA_MEO_Train2.csv,10,96,x_error (m),z_error (m),-0.04230167345253129
DATA_MEO_Train2.csv,10,96,x_error (m),satclockerror (m),-0.06323341991750053
DATA_MEO_Train2.csv,10,96,y_error (m),x_error (m),0.10039453923134724
DATA_MEO_Train2.csv,10,96,y_error (m),y_error (m),0.8518419466170216
DATA_MEO_Train2.csv,10,96,y_error (m),z_error (m),-0.056009521818453756
DATA_MEO_Train2.csv,10,96,y_error (m),satclockerror (m),0.07801816703433144
DATA_MEO_Train2.csv,10,96,z_error (m),x_error (m),-0.09989751596619437
DATA_MEO_Train2.csv,10,96,z_error (m),y_error (m),-0.02639510556925385
DATA_MEO_Train2.csv,10,96,z_error (m),z_error (m),0.9072078484544188
DATA_MEO_Train2.csv,10,96,z_error (m),satclockerror (m),-0.27720916548954233
DATA_MEO_Train2.csv,10,96,satclockerror (m),x_error (m),-0.016636231435158917
DATA_MEO_Train2.csv,10,96,satclockerror (m),y_error (m),-0.0034512937854038047
DATA_MEO_Train2.csv,10,96,satclockerror (m),z_error (m),-0.3479430137391243
DATA_MEO_Train2.csv,10,96,satclockerror (m),satclockerror (m),0.5351779797435156
DATA_MEO_Train2.csv,15,14,x_error (m),x_error (m),0.7249857720023867
DATA_MEO_Train2.csv,15,14,x_error (m),y_error (m),0.5699455718940382
DATA_MEO_Train2.csv,15,14,x_error (m),z_error (m),-0.15193438271557583
DATA_MEO_Train2.csv,15,14,x_error (m),satclockerror (m),0.13058906201675766
DATA_MEO_Train2.csv,15,14,y_error (m),x_error (m),0.3706393460514631
DATA_MEO_Train2.csv,15,14,y_error (m),y_error (m),0.829659518936067
DATA_MEO_Train2.csv,15,14,y_error (m),z_error (m),-0.18354889923839002
DATA_MEO_Train2.csv,15,14,y_error (m),satclockerror (m),-0.2994116385477154
DATA_MEO_Train2.csv,15,14,z_error (m),x_error (m),-0.17255760268274076
DATA_MEO_Train2.csv,15,14,z_error (m),y_error (m),-0.1020337822322062
DATA_MEO_Train2.csv,15,14,z_error (m),z_error (m),0.8176167348166875
DATA_MEO_Train2.csv,15,14,z_error (m),satclockerror (m),0.04500751542694973
DATA_MEO_Train2.csv,15,14,satclockerror (m),x_error (m),0.36976039515037945
DATA_MEO_Train2.csv,15,14,satclockerror (m),y_error (m),0.06733577978265116
DATA_MEO_Train2.csv,15,14,satclockerror (m),z_error (m),-0.04863393145258891
DATA_MEO_Train2.csv,15,14,satclockerror (m),satclockerror (m),-0.17573588734455625
DATA_MEO_Train2.csv,30,67,x_error (m),x_error (m),0.27503182373749935
DATA_MEO_Train2.csv,30,67,x_error (m),y_error (m),0.14506305048930102
DATA_MEO_Train2.csv,30,67,x_error (m),z_error (m),0.05489796232269931
DATA_MEO_Train2.csv,30,67,x_error (m),satclockerror (m),0.22795059306498253
DATA_MEO_Train2.csv,30,67,y_error (m),x_error (m),0.04757372660889555
DATA_MEO_Train2.csv,30,67,y_error (m),y_error (m),0.5867623522991504
DATA_MEO_Train2.csv,30,67,y_error (m),z_error (m),-0.10209610423333657
DATA_MEO_Train2.csv,30,67,y_error (m),satclockerror (m),0.20633083577078096
DATA_MEO_Train2.csv,30,67,z_error (m),x_error (m),-0.175268488331255
DATA_MEO_Train2.csv,30,67,z_error (m),y_error (m),-0.1566431119137707
DATA_MEO_Train2.csv,30,67,z_error (m),z_error (m),0.6445089821369491
DATA_MEO_Train2.csv,30,67,z_error (m),satclockerror (m),-0.19188730329001044
DATA_MEO_Train2.csv,30,67,satclockerror (m),x_error (m),-0.06270633065528929
DATA_MEO_Train2.csv,30,67,satclockerror (m),y_error (m),0.12136427580041426
DATA_MEO_Train2.csv,30,67,satclockerror (m),z_error (m),-0.34654868043942527
DATA_MEO_Train2.csv,30,67,satclockerror (m),satclockerror (m),0.16268852764405317
DATA_MEO_Train2.csv,60,64,x_error (m),x_error (m),0.16124869225791832
DATA_MEO_Train2.csv,60,64,x_error (m),y_error (m),0.11770404724773455
DATA_MEO_Train2.csv,60,64,x_error (m),z_error (m),-0.034418137786295766
DATA_MEO_Train2.csv,60,64,x_error (m),satclockerror (m),0.25742476976519907
DATA_MEO_Train2.csv,60,64,y_error (m),x_error (m),-0.10224406924612027
